arms.left.joint_margin_min_rad,arms.left.position_error_norm_mean_m,arms.left.position_error_norm_peak_m,arms.left.position_error_norm_rmse_m,arms.left.rotation_error_norm_mean_rad,arms.left.rotation_error_norm_peak_rad,arms.left.rotation_error_norm_rmse_rad,arms.left.velocity_saturation_overall_pct,arms.right.joint_margin_min_rad,arms.right.position_error_norm_mean_m,arms.right.position_error_norm_peak_m,arms.right.position_error_norm_rmse_m,arms.right.rotation_error_norm_mean_rad,arms.right.rotation_error_norm_peak_rad,arms.right.rotation_error_norm_rmse_rad,arms.right.velocity_saturation_overall_pct,config_id,disqualification.0,disqualification.1,disqualification.2,disqualification.3,disqualification.4,disqualification.x,disqualification.y,disqualification.z,gains.DAMPING,gains.KD_POS,gains.KD_ROT,gains.KP_POS,gains.KP_ROT,gains.K_NULL,headroom_mean_frac,headroom_p95_frac,settle_duration_s,settled,stage,valid,velocity_saturation_overall_pct,warning_reasons.0,warning_reasons.1,warning_reasons.2,warning_reasons.3,warning_reasons.x,warning_reasons.y,warning_reasons.z,worst_arm_joint_margin_min_rad,worst_arm_pos_rmse_m,worst_arm_rot_rmse_rad
-0.006838324865745982,0.09655536238515447,0.2560693773432464,0.12314393642372812,0.028498389055159914,0.11758479241484185,0.0367401592099773,0.8777142857142857,-0.007059869100582983,0.096228923076471,0.25594722077720117,0.12275331975662004,0.0278924739563214,0.0901743178144959,0.033976466226101024,0.8342857142857143,s1_kp2.77_kd0.15,contact detected,torso contact detected,,,,,,,0.05,0.15,0.3,2.77,2.0,1.0,0.34731036145939725,1.0939597230723834,7.691999999999375,True,1,False,0.8777142857142857,,,,,contact detected,torso contact detected,negative joint margin,-0.007059869100582983,0.12314393642372812,0.0367401592099773
-0.006773604033104785,0.09540794167219635,0.25597589337368837,0.12248360306078307,0.026689420841487066,0.1015000188030549,0.03403549984284289,0.8354285714285715,-0.007021478654552826,0.09492627065602342,0.25585230927244285,0.12202120190778244,0.025674662343099307,0.07492009001894653,0.03125468276766695,0.7885714285714286,s1_kp2.77_kd0.3,contact detected,torso contact detected,,,,,,,0.05,0.3,0.3,2.77,2.0,1.0,0.3428058096474185,1.0789421437369857,7.763999999999367,True,1,False,0.8354285714285715,,,,,contact detected,torso contact detected,negative joint margin,-0.007021478654552826,0.12248360306078307,0.03403549984284289
-0.006661289031757001,0.09430172581598464,0.25588329127783344,0.1218679568252329,0.02533305917244149,0.0863927529927871,0.032102287234975324,0.7977142857142858,-0.006962587594686376,0.09374760754910581,0.2557574443225153,0.1213817802832678,0.02426629655698874,0.060449363278789484,0.029686772457720213,0.7497142857142857,s1_kp2.77_kd0.45,contact detected,torso contact detected,,,,,,,0.05,0.45,0.3,2.77,2.0,1.0,0.3392269017012563,1.0580247711210884,7.865999999999356,True,1,False,0.7977142857142858,,,,,contact detected,torso contact detected,negative joint margin,-0.006962587594686376,0.1218679568252329,0.032102287234975324
-0.006437138018713817,0.09322411050083923,0.25579077950129075,0.12128901212724846,0.02438544554369695,0.07216945239533888,0.030866405502570436,0.7611428571428571,-0.0068595335705134985,0.09265614360701063,0.25566233244952946,0.12081110638379611,0.02336255516413967,0.05355710810649134,0.028861047004620537,0.7142857142857143,s1_kp2.77_kd0.6,contact detected,torso contact detected,,,,,,,0.05,0.6,0.3,2.77,2.0,1.0,0.33638096394934996,1.0349784889763423,8.001999999999342,True,1,False,0.7611428571428571,,,,,contact detected,torso contact detected,negative joint margin,-0.0068595335705134985,0.12128901212724846,0.030866405502570436
-0.005884418700956573,0.09216718536146658,0.25569809671525795,0.12074157149115002,0.023794141481377127,0.06196597423781642,0.030242905885753766,0.7337142857142858,-0.006656956087387922,0.09160640307032623,0.25556683412551634,0.12028208147450126,0.022760265203579887,0.0571197278408012,0.02860732096976305,0.6834285714285715,s1_kp2.77_kd0.75,contact detected,torso contact detected,,,,,,,0.05,0.75,0.3,2.77,2.0,1.0,0.33403301597388046,1.0115324680956541,8.165999999999396,True,1,False,0.7337142857142858,,,,,contact detected,torso contact detected,negative joint margin,-0.006656956087387922,0.12074157149115002,0.030242905885753766
-0.0022529664118944304,0.09114378858832767,0.2556047043608171,0.12022565919025574,0.023414772152156055,0.07116592790505351,0.03013515259329176,0.7028571428571428,-0.006143409041116765,0.09060666890726701,0.2554708202415627,0.1197920735506782,0.022367378951188826,0.06502154431364209,0.02880506491978891,0.656,s1_kp2.77_kd0.9,contact detected,torso contact detected,,,,,,,0.05,0.9,0.3,2.77,2.0,1.0,0.3320748354175287,0.9915733079109862,8.359999999999461,True,1,False,0.7028571428571428,,,,,contact detected,torso contact detected,negative joint margin,-0.006143409041116765,0.12022565919025574,0.03013515259329176
-0.006998530290948324,0.09046394744242199,0.25215552480104503,0.1194426752033379,0.06620799838789339,0.3650358462668091,0.09682239394510195,1.6354285714285715,-0.008591599350897816,0.16687698545491964,0.30171086564265953,0.18979755025417322,0.36424053669537476,1.461633051196085,0.5822838382662897,8.555428571428571,s1_kp4.249_kd0,contact detected,torso contact detected,,,,,,,0.05,0.0,0.3,4.249,2.0,1.0,0.8791901011389253,2.8380254109703036,7.3319999999994145,True,1,False,8.555428571428571,,,,,contact detected,torso contact detected,negative joint margin,-0.008591599350897816,0.18979755025417322,0.5822838382662897
-0.006943435255178265,0.08942690878257477,0.2520647516604274,0.11885322175199729,0.06239435568010249,0.34525828368398986,0.09068903869473857,1.6457142857142857,-0.008939211341991715,0.15877289165921266,0.31059456845603406,0.18462919653389903,0.3592801099813195,1.4674204292780826,0.5905896402151595,7.774857142857143,s1_kp4.249_kd0.15,contact detected,torso contact detected,,,,,,,0.05,0.15,0.3,4.249,2.0,1.0,0.8229711414444368,2.384495782013201,7.489999999999397,True,1,False,7.774857142857143,,,,,contact detected,torso contact detected,negative joint margin,-0.008939211341991715,0.18462919653389903,0.5905896402151595
-0.006874590295550931,0.08851332475499536,0.251974535904516,0.11834128309897968,0.05930684862390306,0.32571956036838895,0.08528983090463096,1.6194285714285712,-0.009014844772386343,0.15609824623785326,0.3204951107223662,0.18330261362263292,0.3638312230447418,1.5243630950579112,0.6051188526838616,7.329142857142858,s1_kp4.249_kd0.3,contact detected,torso contact detected,,,,,,,0.05,0.3,0.3,4.249,2.0,1.0,0.8178897492087862,2.3350446197428276,7.763999999999367,True,1,False,7.329142857142858,,,,,contact detected,torso contact detected,negative joint margin,-0.009014844772386343,0.18330261362263292,0.6051188526838616
-0.006782474951806172,0.08764567039799538,0.25188465290905365,0.1178723857721998,0.05653097909593913,0.30739605786637664,0.0806377477377011,1.5691428571428572,-0.009101531462079038,0.14466597970726966,0.3507150339318409,0.17720632488247617,0.36901691963454253,1.6520198404259745,0.6388520674437996,6.9794285714285715,s1_kp4.249_kd0.45,contact detected,torso contact detected,,,,,,,0.05,0.45,0.3,4.249,2.0,1.0,0.8013011592270413,2.3286619736907928,7.709999999999373,True,1,False,6.9794285714285715,,,,,contact detected,torso contact detected,negative joint margin,-0.009101531462079038,0.17720632488247617,0.6388520674437996
